word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
-meal,miːl,,"n. 一餐, 一顿饭；膳食\nvi. 进餐",,,,,0,0,,,
-meter,'mi:tər,, [医]〔后缀〕意为：测量用的计、表、量器,,,,,0,0,,,
-metric,'metrɪk,,a. 公制的；米制的；公尺的\nn. 度量标准,,,,,0,0,,,
-most,,, 最远的；最深远的,,,,,0,0,,,
-n,n,,suf. 表示：[构成不规则动词的过去分词]：known,,,,,0,0,,,
-nd,nd,,"suf. 构成名词：fiend; 附于动词后构成名词或形容词,表示“(人或事物)应予…对待(或处理)”：reverend, dividend; 用以构成以二(除12外)的序数词表示“第二”, “第…二”：22nd, 82nd",,,,,0,0,,,
-o,əu,,"suf. 用以构成名词或形容词,表示具有…性质(的), 与…有关的; 用以构成感叹词",,,,,0,0,,,
-ol,'ɒl,," [医]〔后缀〕意为该物质为醇或酚, 即碳氢化合物的氢氧衍化物",,,,,0,0,,,
-oma,'əʊmə,, [医]〔后缀〕意为肿瘤或新生物,,,,,0,0,,,
-on,ɔn,,suf. 表示“非酮(或氧基)化合物”：parathion; 表示：[生物学]“…子(指基本遗传成分)”; [物理学]“…子(指基本粒子或量子)”; [化学]表示“惰性气体”：neon,,,,,0,0,,,
-one,'wʌn,," [医]〔后缀〕意为酮, 在化学中用以表示有两个烃基附在羰基上的一种化合物",,,,,0,0,,,
-or,,, …的人（或物）,,,,,0,0,,,
-ose,'əʊz,, [医]〔后缀〕意为该物质是一种糖,,,,,0,0,,,
-path,pɑːθ,,n. 道路；小路；轨道,,,,,0,0,,,
-penny,pəni,, 表示值...便士,,,,,0,0,,,
-phobia,'fəubiə,," 表示“恐惧”, “憎恶”",,,,,0,0,,,
-phone,-fəun,, 声音; 使用某种语言的(人); 电话,,,,,0,0,,,
-phony,'foni,," 表示：音, 声, 声音的; 发声困难",,,,,0,0,,,
-podium,-pəudi:əm,," 表示：足,足状部分：monopodium; 梗, 柄[亦作-pode]",,,,,0,0,,,
-poo,,"Poo well, they're are many types of poo in this universe\r\n\r\nThere is\r\n\r\nTHE SWEETCORN - Poo that has leftover sweetcorn from last night's dinner\r\n\r\nTHE PELLETS - Little pellets of poo that comes out of your ass like a machine gun\r\n\r\nTHE FIREBALL - A big poo that really hurts and leaving your ass hot, usually happens after a curry\r\n\r\nTHE SLIPPY - A poo that swiftly moves out of your bottom that requires no wiping\r\n\r\nTHE WATERHOSE - When a massive monsoon of shit comes out of your bottom and requires hours of wiping\r\n\r\nTHE NEVERENDING STORY - An amazing acheivment is when a poo goes on and on and on.......\r\n\r\nTHE STEAMY HEAPY - Boy, That is basically ONE MASSIVE SHIT!!!!!!!\r\n\r\nTHE STICKY - When you have a poo stuck onto the hairs of your crack and requires hours of wiping (maybe a pair of scissors)\n> Donkeys do massive stickies and rabbits do a hell of a load of pellets\n",,,,,,0,0,,,
-resist,rɪ'zɪst,,vi. 抵抗，抗拒；忍耐\nvt. 抵抗；忍耐，忍住\nn. [助剂] 抗蚀剂；防染剂,,,,,0,0,,,
-s,,,"suf. 附在规则名词之后构成复数; 附在某些无单数形式名词之后构成复数glasses, socks, trousers; 附在某些名词之后构成单数billiards, checkers, works; 用以构成表示反复或一贯之动作或状态的副词always, Sundays; 附在原形动词之后, 构成第三人称单数一般现在时态的陈述语气: comes, goes, tries, walks",,,,,0,0,,,
-ship,,, 状态；性质；品质,,,,,0,0,,,
-some,,," [医]〔后缀〕意为体, 躯体",,,,,0,0,,,
-speak,spiːk,,vi. 说话；演讲；表明；陈述\nvt. 讲话；发言；讲演,,,,,0,0,,,
-specific,spə'sɪfɪk,,"a. 特殊的, 特定的；明确的；详细的；[药] 具有特效的\nn. 特性；细节；特效药",,,,,0,0,,,
-st,st,,suf. 用以构成第二人称单数陈述语气; 序数词“第一”(first)的符号：the 1stday,,,,,0,0,,,
-style,stail,," 表示：“…式样的”：familystyle; “按…式样”, “有点儿…地”; 表示“…柱式”,“…柱的”：distyle",,,,,0,0,,,
-taxis,'tæksis,," 表示：“排列”, “顺序”; [生物学]“趋向性”：heterotaxis",,,,,0,0,,,
-th,,, （表示动作或过程）,,,,,0,0,,,
-them,ðem; ðəm,,pron. 他们；它们；她们\nn. (Them)人名；(老)探,,,,,0,0,,,
-trophy,t'rəʊfɪ,," [医]〔后缀〕食物, 营养",,,,,0,0,,,
-um,(ə)m,,int. 嗯（表示迟疑）\nn. (Um)人名；(柬)温；(阿拉伯)乌姆,,,,,0,0,,,
-verse,,"A gay male who will go top and bottom, you know... he'ss just go with whatever!\n> Guy 1: Are you a top or a bottom?\n> Guy 2: I'm verse.\n> Guy 1: YAY! well, im a top, so guess who's getting a cock in their ass tonight.\n> Guy 2: ME! :D\n",,,,,,0,0,,,
-ways,,, 在…方向（的）；朝…方向（的）,,,,,0,0,,,
-wise,,, 以…方式；朝…方向,,,,,0,0,,,
-worthy,'wə:ði,,"suf. [构成形容词]表示：“值得…的”,“该…的”：praiseworthy,“适于…的”,“易于…的”：roadworthy",,,,,0,0,,,
-y,,, 充满…的；有…特性的,,,,,0,0,,,
a,ei,n. the 1st letter of the Roman alphabet\nn. the blood group whose red cells carry the A antigen,"第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",,5,1,zk gk,5,5,,"""""",
a head,ei hed,, 一捆；一束；一头；一棵,,,,,0,0,,,
a-,," A, as a prefix to English words, is derived from various sources.\n   (1) It frequently signifies on or in (from an, a forms of AS. on),\n   denoting a state, as in afoot, on foot, abed, amiss, asleep, aground,\n   aloft, away (AS. onweg), and analogically, ablaze, atremble, etc. (2)\n   AS. of off, from, as in adown (AS. ofd/ne off the dun or hill). (3) AS.\n   a- (Goth. us-, ur-, Ger. er-), usually giving an intensive force, and\n   sometimes the sense of away, on, back, as in arise, abide, ago. (4) Old\n   English y- or i- (corrupted from the AS. inseparable particle ge-,\n   cognate with OHG. ga-, gi-, Goth. ga-), which, as a prefix, made no\n   essential addition to the meaning, as in aware. (5) French a (L. ad\n   to), as in abase, achieve. (6) L. a, ab, abs, from, as in avert. (7)\n   Greek insep. prefix / without, or privative, not, as in abyss, atheist;\n   akin to E. un-.","pref. 不, 缺少, 无\n[医] 不, 无, 缺; 离",,,,,0,0,,,
A-bombs,"'ei,bɔm",n. a nuclear weapon in which enormous energy is released by nuclear fission (splitting the nuclei of a heavy element like uranium 235 or plutonium 239),"n. [美国英语]；原子弹 (＝atomic bomb)\nvt. 用原子弹轰击(或轰炸, 毁灭)",,,,,0,0,0:a-bomb/1:s,,
a-coming,,-ing form of a-come,(a-come 的现在分词) n. (Acome)人名；(法)阿科姆,,,,,0,0,0:a-come/1:i,,
a-coupled,,past tense of a-couple,(a-couple 的过去时) 一对夫妇；夫妻俩,,,,,0,0,0:a-couple/1:p,,
a-cups,,plural of a-cup,(a-cup 的复数) abbr. 针术（acupuncture）,,,,,0,0,0:a-cup/1:s,,
a-d,",ei 'di:",,n. 公元,,,,,0,0,,,
a-fluttering,,-ing form of a-flutter,(a-flutter 的现在分词) adj. 飘扬的；激动的\nadv. 飘扬,,,,,0,0,0:a-flutter/1:i,,
a-frames,,plural of a-frame,(a-frame 的复数) [机] A型架,,,,,0,0,0:a-frame/1:s,,
a-go,ə'gəʊ,,"adv. 以前, 以往\na. 以前的；过去的\nn. (Ago)人名；(英、西、意、塞、瑞典)阿戈",,,,,0,0,i:a-going,,
a-going,,-ing form of a-go,"(a-go 的现在分词) adv. 以前, 以往\na. 以前的；过去的\nn. (Ago)人名；(英、西、意、塞、瑞典)阿戈",,,,,0,0,0:a-go/1:i,,
a-grades,,plural of a-grade,(a-grade 的复数) 甲级,,,,,0,0,0:a-grade/1:s,,
a-levelled,,past participle of a-level,"(a-level 的过去分词)  <英>英语学校里某一课程结束时举行的高深考试, 高深级考试及格",,,,,0,0,0:a-level/1:d,,
a-levels,,plural of a-level,"(a-level 的复数)  <英>英语学校里某一课程结束时举行的高深考试, 高深级考试及格",,,,,0,0,0:a-level/1:s,,
a-listed,,past participle of a-list,"(a-list 的过去分词)  (very best) 最好的, 最优秀的, 最酷的",,,,,0,0,0:a-list/1:d,,
a-m,em,,abbr. 调幅\nv. 是\nn. (Am)人名；(柬)安,,,,,0,0,,,
a-men,ɑː'men; eɪ-,,int. （表示衷心赞成）阿门；（祈祷时的结尾语）阿门\nn. 祈祷的结束语；赞成\nadv. 真实地\nn. (Amen)人名；(法)阿芒；(英、罗、阿拉伯)阿门,,,,,0,0,,,
a-particles,,plural of a-particle,(a-particle 的复数) [机] A-质点,,,,,0,0,0:a-particle/1:s,,
a-raining,,-ing form of a-rain,(a-rain 的现在分词) n. (Arain)人名；(乌干)阿拉因,,,,,0,0,0:a-rain/1:i,,
A-side,'ei'said,,n. A面（磁带等的）,,,,,0,0,,,
a-sitting,,-ing form of a-sit,(a-sit 的现在分词) n. (Asit)人名；(印)阿西特,,,,,0,0,0:a-sit/1:i,,
a-t,,,abbr. anti-tank 反坦克,,,,,0,0,,,
a-way,,,心路（歌曲名）,,,,,0,0,,,
a.,,,"[医] 调节, 适应, 安培, 阳极, 正极, 前, 水, 水剂, 动脉",,,,,0,0,,,
A. M.,,,"[医] 米角, 公尺角, 轴近中的, 安培计",,,,,0,0,,,
A. S.,,,[医] 左耳,,,,,0,0,,,
A.D.,ænәu'dɔminai,r in the Christian era; used before dates after the supposed year Christ was born,公元\n[医] 右耳,,,,,0,0,,,
A.D.O.,,,"[医] 轴远中Ж的, 轴远中咬合的",,,,,0,0,,,
A.I.D.,,,"[医] 供者人工授精, 异配[人工]授精",,,,,0,0,,,
a.m,,,abbr. （拉）午前；早上（ante meridiem）,,,,,0,0,,,
a.m.,,s before noon\nr before noon,"上午, 午前",,2,,,0,0,,,
A.S.S.,,,[医] [髂]前上棘,,,,,0,0,,,
A.T.,,,[医] 旧结核菌素,,,,,0,0,,,
A/D,,,abbr. 模拟数字转换（Analog to Digital）,,,,,0,0,,,
aaahed,,past tense of aaah,(aaah 的过去时) abbr. American Association for the Advancement of the Humanities 美国人权促进会,,,,,0,0,0:aaah/1:p,,
AACS,,,[计] 高级异步通信系统,,,,,0,0,0:aac/1:s,,
aahed,,past tense of aah\nv express admiration and pleasure by uttering `ooh' or `aah',"(aah 的过去时) abbr.[军] Armored Artillery Howitzer, 装甲榴弹炮\nabbr.[军] Advanced Attack Helicopter, 先进攻击直升机",,,,,0,0,0:aah/1:p,,
aahhing,,-ing form of aah\nv express admiration and pleasure by uttering `ooh' or `aah',"(aah 的现在分词) abbr.[军] Armored Artillery Howitzer, 装甲榴弹炮\nabbr.[军] Advanced Attack Helicopter, 先进攻击直升机",,,,,0,0,0:aah/1:i,,
aahing,,-ing form of aah\nv express admiration and pleasure by uttering `ooh' or `aah',"(aah 的现在分词) abbr.[军] Armored Artillery Howitzer, 装甲榴弹炮\nabbr.[军] Advanced Attack Helicopter, 先进攻击直升机",,,,,0,0,0:aah/1:i,,
aahs,,plural of aah\nv express admiration and pleasure by uttering `ooh' or `aah',"(aah 的复数) abbr.[军] Armored Artillery Howitzer, 装甲榴弹炮\nabbr.[军] Advanced Attack Helicopter, 先进攻击直升机",,,,,0,0,0:aah/1:s,,
Aams,,"plural of AAM\nn. A Dutch and German measure of liquids, varying in different\n   cities, being at Amsterdam about 41 wine gallons, at Antwerp 36 1/2, at\n   Hamburg 38 1/4.",(AAM 的复数) 空对空导弹,,,,,0,0,0:aam/1:s,,
aardvarks,,-s form of aardvark\nn. nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata,(aardvark 的第三人称 -s形式) n. 土豚,,,,,0,0,0:aardvark/1:s,,
aats,,plural of aat,(aat 的复数) abbr. alpha-l antitrypsin α-1抗胰蛋白酶,,,,,0,0,0:aat/1:s,,
ab-so-lute-ly,'æbsəluːtlɪ,,adv. 绝对地；完全地,,,,,0,0,,,
abacos,,plural of abaco,(abaco 的复数) abbr. Great and Little Abaco islands 大阿巴科群岛和小阿巴科群岛,,,,,0,0,0:abaco/1:s,,
abacuses,'æbəkəs,pl.  of Abacus,n. 算盘,,,,,0,0,0:abacuse/1:s,,
abalones,,plural of abalone\nn. any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior,(abalone 的复数) n. 鲍,,,,,0,0,0:abalone/1:s,,
abandoning,,"v forsake, leave behind\nv give up with the intent of never claiming again\nv leave behind empty; move out of\nv stop maintaining or insisting on; of ideas or claims\nv leave someone who needs or counts on you; leave in the lurch",v. 放弃；屈服（abandon的现在分词）,,,,,43075,0,0:abandon/1:i,,
abandonments,,plural of abandonment\nn. the act of giving something up\nn. the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away,"(abandonment 的复数) n. 放弃, 抛弃, 放纵\n[经] 委付, 废弃, 放弃(采矿权)",,,,,0,0,0:abandonment/1:s,,
abas,'ɑ:bәs,n a loose sleeveless outer garment made from aba cloth; worn by Arabs\nn a fabric woven from goat hair and camel hair,vt.打倒,,,,,0,0,0:aba/1:s,,
abashed,ә'bæʃd,s. feeling or caused to feel uneasy and self-conscious,"a. 不安的, 窘迫的",,,,toefl,34390,28626,d:abashed/0:abashed/1:d,,
abashing,ə'bæʃ,p. pr. & vb. n. of Abash,vt. 使困窘；使羞愧；使局促不安,,,,,0,0,1:i/0:abash,,
abasing,'a:bəs,p. pr. & vb. n. of Abase,vt. 打倒\nn. 诺谟图\nn. (Abas)人名；(阿拉伯、印尼、伊朗、哈萨、吉尔、塔吉、乌兹、阿塞、土库、科摩、俄)阿巴斯,,,,,0,0,0:abase/1:i,,
abatements,,plural of abatement\nn. the act of abating,"(abatement 的复数) n. 减少, 减轻, 缓和, 折扣, 撤消, 中止\n[化] 废料; 失效",,,,,0,0,0:abatement/1:s,,
abating,,v make less active or intense\nv become less in amount or intensity,n. [机械]硬度降低,,,,,0,0,0:abate/1:i,,
abattoirs,'æbətwɑː,pl.  of Abattoir,n. 屠宰场；角斗场,,,,,0,0,0:abattoir/1:s,,
abayas,,plural of abaya\nn. (Arabic) a loose black robe from head to toe; traditionally worn by Muslim women,"(abaya 的复数) n.毛织物, (阿拉伯式)长袍",,,,,0,0,0:abaya/1:s,,
abbacies,'æbəsɪ,pl.  of Abbacy,n. 任期；男修道院院长之职位；管区,,,,,0,0,0:abbacy/1:s,,
abbesses,ˈæbɪsiz,n. the superior of a group of nuns,n. 女修道院院长( abbess的复数形式 ),,,,,0,0,0:abbess/1:s,,
abbeys,'æbɪ,pl.  of Abbey,"n. 大修道院, 大寺院；修道院中全体修士或修女\nn. (Abbey)人名；(法)阿贝；(英)阿比(教名Abigail的昵称)",,,,,0,0,0:abbey/1:s,,
abbing,,-ing form of ab\nn. the eleventh month of the civil year; the fifth month of the ecclesiastical year in the Jewish calendar (in July and August)\nn. the blood group whose red cells carry both the A and B antigens,"(ab 的现在分词) prep. 从, 自\n[计] 地址总线",,,,,0,0,0:ab/1:i,,
abbots,ˈæbəts,n. the superior of an abbey of monks,n. 男修道院院长( abbot的复数形式 ); 隐修院院长; 大寺院男住持; 男修道院院长的职务,,,,,0,0,0:abbot/1:s,,
abbreviate,ә'bri:vieit,v. shorten,"vt. 缩写, 使...简略, 缩短\nvi. 使用缩写词",,,,toefl gre,20690,22759,d:abbreviated/i:abbreviating/p:abbreviated/3:abbreviates,,
abbreviated,,s. (of clothing) very short\ns. cut short in duration,"[计] 缩写的, 短缩的, 简写的, 简略的, 缩略的\n[医] 减短的, 缩减的, 省略的",,,,,21124,18452,d:abbreviated/0:abbreviated/1:d,,
abbreviating,ə'briːvɪeɪt,p. pr. & vb. n. of Abbreviate,"vt. 缩写, 使省略；使简短\nvi. 使用缩写词",,,,,0,0,0:abbreviate/1:i,,
abbreviation,ә.bri:vi'eiʃәn,n. a shortened form of a word or phrase\nn. shortening something by omitting parts of it,"n. 缩写词, 缩写, 缩短, 节略",,,,cet6 toefl ielts,15465,20008,s:abbreviations,,
abbreviations,əbri:v'ɪeɪʃnz,n. a shortened form of a word or phrase\nn. shortening something by omitting parts of it,n. 缩写( abbreviation的复数形式 ); 缩写词; 略语,,,,,0,0,0:abbreviation/1:s,,
abby,'æbi,,n. 艾比（女子名）,,,,,39657,0,,,
Abcs,,plural of ABC\nn the elementary stages of any subject (usually plural),"(ABC 的复数) 预定章程, 美国广播公司, 澳大利亚广播公司, 字母表, 基础知识\n[计] 记帐预算计价系统, 通用插件板计算机, 美国广播公司, 自动编码系统",,,,,0,0,0:abc/1:s,,
abdicating,'æbdɪkeɪt,p. pr. & vb. n. of Abdicate,v. 退位；放弃,,,,,0,0,0:abdicate/1:i,,
abdomens,ˈæbdəmənz,n. the region of the body of a vertebrate between the thorax and the pelvis\nn. the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,n. 腹（部）( abdomen的复数形式 ),,,,,0,0,0:abdomen/1:s,,
abdominals,æb'dɔminəlz,pl.  of Abdominal,n. 腹肌（abdominal的复数）,,,,,0,0,0:abdominal/1:s,,
abduct,æb'dʌkt,v. pull away from the body,"vt. 诱拐, 绑架, 使外展\n[医] 外展, 展",,1,,toefl gre,15203,11439,d:abducted/p:abducted/i:abducting/3:abducts,,
abducted,,v take away to an undisclosed location against their will and usually in order to extract a ransom\nv pull away from the body,[法] 诱拐,,,,,43074,31134,0:abduct/1:dp/d:abducted,,
abductees,,plural of abductee,(abductee 的复数) n. 被绑架者,,,,,0,0,0:abductee/1:s,,
abducting,əb'dʌkt,p. pr. & vb. n. of Abduct,vt. 绑架；诱拐；使外展,,,,,0,0,0:abduct/1:i,,
abductions,əb'dʌkʃn,n. the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife\nn. (physiology) moving of a body part away from the central axis of the body,"n. 诱拐, 绑架；诱导",,,,,0,0,0:abduction/1:s,,
abductors,,plural of abductor\nn. a muscle that draws a body part away from the median line,"(abductor 的复数) n. 诱拐者, 绑架者, 外展肌\n[医] 展肌, 外展肌",,,,,0,0,0:abductor/1:s,,
abdullahi,,,n. (Abdullahi)人名；(阿拉伯)阿卜杜拉希,,,,,0,0,s:abdullahi/0:abdullahi/1:s,,
abercrombies,,plural of abercromby,(abercromby 的复数)  [人名] [苏格兰人姓氏] 阿伯克龙比 Abercrombie的变体,,,,,0,0,0:abercromby/1:s,,
Aberdonians,,plural of Aberdonian\na of or relating to Aberdeen,(Aberdonian 的复数) n.(苏格兰港市)阿伯丁人\na. 阿伯丁人的,,,,,0,0,0:aberdonian/1:s,,
aberrances,,plural of aberrance\nn. a state or condition markedly different from the norm,"(aberrance 的复数) n. 偏离正路, 偏离常轨, 反常",,,,,0,0,0:aberrance/1:s,,
aberrations,æbə'reɪʃnz,n. a state or condition markedly different from the norm\nn. a disorder in one's mental state\nn. an optical phenomenon resulting from the failure of a lens or mirror to produce a good image,n. 偏差( aberration的复数形式 ); 差错; 脱离常规; <心理学>心理失常,,,,,0,0,0:aberration/1:s,,
abeted,,past tense of abete,(abete 的过去时) n. (Abete)人名；(西)阿韦特；(意)阿贝特,,,,,0,0,0:abete/1:p,,
abetting,ə'bet,p. pr. & vb. n. of Abet,"vt. 煽动, 教唆；支持\nn. (Abet)人名；(意)阿贝特；(匈)奥拜特",,,,,0,0,0:abet/1:i,,
abettors,,plural of abettor\nn. one who helps or encourages or incites another,"(abettor 的复数) n. 唆使者, 怂恿者",,,,,0,0,0:abettor/1:s,,
abhorrences,,plural of abhorrence\nn. hate coupled with disgust,"(abhorrence 的复数) n. 厌恶, 痛恨",,,,,0,0,0:abhorrence/1:s,,
abhorring,,v find repugnant,v. 憎恨（厌恶）,,,,,0,0,0:abhor/1:i,,
abide,ә'baid,v dwell\nv put up with something or somebody unpleasant,"vi. 停留, 遵守, 居留, 继续下去\nvt. 忍受, 经受, 屈从于",,1,,cet6 ky toefl gre,9496,8457,i:abiding/3:abides/p:abided/d:abided,,
abided,,v dwell\nv put up with something or somebody unpleasant,abide的过去式和过去分词,,,,,0,0,0:abide/1:pd,,
abides,əˈbaidz,v dwell\nv put up with something or somebody unpleasant,v. 容忍( abide的第三人称单数 ); 等候; 逗留; 停留,,,,,0,0,0:abide/1:3,,
abiding,ә'baidiŋ,s. unceasing,"a. 永久的, 持久的, 不变的",,1,,toefl,14446,15604,0:abide/1:i/i:abiding,,
Abies,"'æbi,i:z",n. true firs,[机] 冷杉属,,,,,0,0,0:aby/1:s,,
abigails,,plural of abigail\nn. A lady's waiting-maid.,(abigail 的复数) n. 贴身使女,,,,,0,0,0:abigail/1:s,,
abilities,,n the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment\nn possession of the qualities (especially mental qualities) required to do something or get something done,"n. 能力, 才能（ability的复数形式）",,,,,0,0,0:ability/1:s,,
ability,ә'biliti,n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment\nn. possession of the qualities (especially mental qualities) required to do something or get something done,"n. 能力, 才干\n[经] 能力, 才能",,4,1,zk gk cet4 ky toefl ielts,946,783,s:abilities,,
abinger,,comparative of abing,(abing 的比较级) AB血型[参较 ABO system],,,,,0,0,0:abing/1:r,,
abjuring,əb'dʒʊə; əb'dʒɔː,p. pr. & vb. n. of Abjure,vt. 发誓放弃；公开放弃；避免,,,,,0,0,0:abjure/1:i,,
